2025-11-27 09:34:53,446 INFO    StreamThr :21808 [internal.py:wandb_internal():86] W&B internal server running at pid: 21808, started at: 2025-11-27 09:34:53.446953
2025-11-27 09:34:53,447 DEBUG   HandlerThread:21808 [handler.py:handle_request():146] handle_request: status
2025-11-27 09:34:53,450 INFO    WriterThread:21808 [datastore.py:open_for_write():85] open: wandb\wandb\run-20251127_093453-b2okf0qw\run-b2okf0qw.wandb
2025-11-27 09:34:53,452 DEBUG   SenderThread:21808 [sender.py:send():380] send: header
2025-11-27 09:34:53,512 DEBUG   SenderThread:21808 [sender.py:send():380] send: run
2025-11-27 09:34:54,450 INFO    SenderThread:21808 [dir_watcher.py:__init__():211] watching files in: wandb\wandb\run-20251127_093453-b2okf0qw\files
2025-11-27 09:34:54,452 INFO    SenderThread:21808 [sender.py:_start_run_threads():1124] run started: b2okf0qw with start time 1764207293.447963
2025-11-27 09:34:54,457 DEBUG   HandlerThread:21808 [handler.py:handle_request():146] handle_request: check_version
2025-11-27 09:34:54,457 DEBUG   SenderThread:21808 [sender.py:send_request():407] send_request: check_version
2025-11-27 09:34:54,987 DEBUG   HandlerThread:21808 [handler.py:handle_request():146] handle_request: run_start
2025-11-27 09:34:55,018 DEBUG   HandlerThread:21808 [system_info.py:__init__():32] System info init
2025-11-27 09:34:55,018 DEBUG   HandlerThread:21808 [system_info.py:__init__():47] System info init done
2025-11-27 09:34:55,018 INFO    HandlerThread:21808 [system_monitor.py:start():194] Starting system monitor
2025-11-27 09:34:55,018 INFO    SystemMonitor:21808 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-11-27 09:34:55,018 INFO    HandlerThread:21808 [system_monitor.py:probe():214] Collecting system info
2025-11-27 09:34:55,025 INFO    SystemMonitor:21808 [interfaces.py:start():190] Started cpu monitoring
2025-11-27 09:34:55,025 INFO    SystemMonitor:21808 [interfaces.py:start():190] Started disk monitoring
2025-11-27 09:34:55,025 INFO    SystemMonitor:21808 [interfaces.py:start():190] Started gpu monitoring
2025-11-27 09:34:55,036 INFO    SystemMonitor:21808 [interfaces.py:start():190] Started memory monitoring
2025-11-27 09:34:55,053 INFO    SystemMonitor:21808 [interfaces.py:start():190] Started network monitoring
2025-11-27 09:34:55,059 DEBUG   HandlerThread:21808 [system_info.py:probe():196] Probing system
2025-11-27 09:34:55,060 DEBUG   HandlerThread:21808 [system_info.py:_probe_git():181] Probing git
2025-11-27 09:34:55,179 DEBUG   HandlerThread:21808 [system_info.py:_probe_git():189] Probing git done
2025-11-27 09:34:55,179 DEBUG   HandlerThread:21808 [system_info.py:probe():244] Probing system done
